durablefishingrod;Durable Fishing Rod
fishingrod;Fishing Rod
fossilbrushbeginner;Basic Fossil Brush
fossilbrushmaster;Master Fossil Brush
fossilbrushstudent;Advanced Fossil Brush
climbingrope;Rope
grapplinghook;Grappling Hook
mechblueprint3;Simple Mech Blueprint
mechblueprint4;Advanced Mech Blueprint
mechblueprint5;High-Tech Mech Blueprint
mechblueprint6;Experimental Mech Blueprint
commonlargeshield;Large Shield
commonsmallshield;Small Shield
eyeshield;Eye Shield
floranshield;Floran Shield
frostshield;Frost Shield
mushroomshield;Mushroom Shield
riotshield;Riot Shield
seashellshield;Seashell Shield
startershield;Basic Shield
stationtransponder;Station Transponder
broom;Broom
bugnet;Bug Net
filledcapturepod;Filled Capture Pod (1)
npcpetcapturepod;Filled Capture Pod (2)
npcbotpod;Filled Capture Pod (3)
geode;Geode
cavedetector;Cave Detector (1)
cavedetector1;Cave Detector (2)
oredetector;Ore Detector
parasol;Parasol
penguincostume;Penguin Costume
railhook;Rail Hook
compositerailplatform;Composite Rail Platform
rustyrailplatform;Rusty Rail Platform
stationtram;Rail Tram
relocator;Relocator
rewardbag;Reward Bag
superrewardbag;Special Reward
translocator;Translocator
wateringcan;Watering Can
woodenwateringcan;Wooden Watering Can
boatcontrollergreen;Green Boat Controller
hoverbikecontrollergreen;Green Hoverbike Controller
hoverbikecontrollerkhaki;Khaki Hoverbike Controller
hoverbikecontrollerred;Red Hoverbike Controller
bruisersword;Bruiser's Broadsword
flamethrowerblade;Flamethrower Blade
hunterrifle;Vintage Scoped Rifle
boomerang;Boomerang
fireboomerang;Molten Boomerang
iceboomerang;Frozen Boomerang
lunarang;Lunarang
wormerang;Giant Worm
dragonhead;Dragonhead Pistol
erchiuseye;Erchius Eye
ixodoomclaw;Ixodoom Claw
kluexstaff;Kluex Staff
miniknoglauncher;Miniknog Launcher
soluskatana;Solus Katana
bow;Hunting Bow
cavebow;Rock Bow
compoundbow;Compound Bow
cupidsbow;Cupid's Bow
frozenbow;Frozen Bow
harpoongun;Harpoon Gun (1)
randomharpoongun;Harpoon Gun (2)
lightbow;Light Bow
poisonbow;Poison Bow
pollenpump;Pollen Pump
tungstenbow;Tungsten Hunting Bow
chakram;Chakram
hardchakram;Hard Chakram
neochakram;Neo Chakram
sawchakram;Saw Chakram
boxingglove;Boxing Glove
brassknuckles;Brass Knuckles
clawglove;Claw Glove
gauntlet;Gauntlet
stunglove;Stun Glove
supernovaglove;Supernova Gauntlet
vinefist;Vine Fist
commonaxe;Common Axe
fryingpan;Frying Pan
rareaxe;Rare Axe
uncommonaxe;Uncommon Axe
astrosabredeluxe;Asuterosaberu DX
commonbroadsword;Common Broadsword
hokucide;Hokucide
legendblade;Legend Sword
rarebroadsword;Rare Broadsword
stoneblade;Stone Sword
timepierce;Time Pierce
uncommonbroadsword;Uncommon Broadsword
commondagger;Common Dagger
raredagger;Rare Dagger
uncommondagger;Uncommon Dagger
commonhammer;Common Hammer
foldingchair;Folding Chair
rarehammer;Rare Hammer
uncommonhammer;Uncommon Hammer
energypickaxe;Energy Pickaxe
commonshortsword;Common Shortsword
rareshortsword;Rare Shortsword
uncommonshortsword;Uncommon Shortsword
commonspear;Common Spear
rarespear;Rare Spear
uncommonspear;Uncommon Spear
durasteelassaultrifle;Durasteel Assault Rifle
durasteelrevolver;Durasteel Revolver
ironassaultrifle;Iron Assault Rifle
ironrevolver;Iron Revolver
titaniummachinepistol;Titanium Machine Pistol
titaniumsniperrifle;Titanium Sniper Rifle
tungstenmagnum;Tungsten Magnum
tungstenshotgun;Tungsten Shotgun
npcassaultrifle;NPC Assault Rifle
npcavianbroadsword;NPC Macuahuitl
npcaxe;NPC Axe
npcbow;NPC Bow
npcbroadsword;NPC Broadsword
npcbruisersword;NPC Bruiser's Broadsword
npccultistbroadsword;NPC Cultist Broadsword
npccultistshortsword;NPC Cultist Shortsword
npcdagger;NPC Dagger
npcdeadbeatassaultrifle;NPC Deadbeat Assault Rifle
npcdeadbeataxe;NPC Deadbeat Axe
npceyesword;NPC Oculus Reaver
npcfeneroxspear;NPC Fenerox Spear
npcfirebow;NPC Fire Bow
npcfloranassaultrifle;NPC Floran Assault Rifle
npchammer;NPC Hammer
npcmachinepistol;NPC Machine Pistol
npcpistol;NPC Semi-Automatic Pistol
npcrocketlauncher;NPC Rocket Launcher
npcshortsword;NPC Shortsword
npcshotgun;NPC Shotgun
npcsniperrifle;NPC Semi-Automatic Rifle
npcspear;NPC Spear
npctungstenbow;NPC Tungsten Bow
npcwrench;NPC Wrench
adaptablecrossbow;Adaptable Crossbow
chargegun;Charge Gun (1)
chargegun2;Charge Gun (2)
drillspear;Drill Spear (1)
fudrillspear;Drill Spear (2)
electricrailgun;Tesla's Wrath
electrobaton;Electro Baton
evileye;Evil Eye
exmachina;Ex Machina
eyesword;Oculus Reaver
fireworkgun;Zephyr Spark Launcher
flamingdemonsword;Firestorm's Fury
gnomegun;Gnome Gun
gristlegun;Cartilage Gun
magnorbs;Magnorbs
nurusspear;Nuru's Spear (1)
nurusspearmelee;Nuru's Spear (2)
remotegrenadelauncher;Remote Grenade Launcher
soulseeker;Soulseeker
tentaclegun;Alien Appendage
wormgun;Alien Worm Gun
brokenprotectoratebroadsword;Broken Broadsword
durasteelbroadsword;Durasteel Broadsword
durasteelshortsword;Durasteel Shortsword
ironbroadsword;Iron Broadsword
ironshortsword;Iron Shortsword
titaniumdagger;Titanium Dagger
titaniumspear;Titanium Spear
tungstenaxe;Tungsten Axe
tungstenhammer;Tungsten Hammer
aegisaltbow;Aegisalt Bow
aegisaltpistol;Aegisalt Pistol
feroziumstaff;Ferozium Staff
feroziumwand;Ferozium Wand
protectoratebroadsword;Protector's Broadsword
violiumbroadsword;Violium Broadsword
violiumshortsword;Violium Shortsword
commonassaultrifle;Common Assault Rifle
rareassaultrifle;Rare Assault Rifle
uncommonassaultrifle;Uncommon Assault Rifle
flamethrower;Flamethrower
commongrenadelauncher;Common Grenade Launcher
raregrenadelauncher;Rare Grenade Launcher
uncommongrenadelauncher;Uncommon Grenade Launcher
commonmachinepistol;Common Machine Pistol
raremachinepistol;Rare Machine Pistol
uncommonmachinepistol;Uncommon Machine Pistol
commonpistol;Common Pistol
rarepistol;Rare Pistol
uncommonpistol;Uncommon Pistol
commonrocketlauncher;Common Rocket Launcher
rarerocketlauncher;Rare Rocket Launcher
uncommonrocketlauncher;Uncommon Rocket Launcher
commonshotgun;Common Shotgun
rareshotgun;Rare Shotgun
uncommonshotgun;Uncommon Shotgun
commonsniperrifle;Common Sniper Rifle
raresniperrifle;Rare Sniper Rifle
uncommonsniperrifle;Uncommon Sniper Rifle
bubblegun;Bubble Blaster
doomcannon;Doomcannon
paintgunblue;Blue Paintgun
paintgungreen;Green Paintgun
paintgunorange;Orange Paintgun
paintgunpurple;Purple Paintgun
paintgunred;Red Paintgun
paintgunyellow;Yellow Paintgun
raygun;Ray Gun
snowgun;Snowball Shooter
spaceplasmarifle;Plasma Assault Rifle
watergun;Squirt Gun
rarestaff;Rare Staff
teslastaff;Tesla's Staff
rarewand;Rare Wand
energywhip;Lucaine's Energy Whip
intestinewhip;Intestine Whip
ropewhip;Rope Whip
vinewhip;Vine Whip
apextier1chest;Defector's Chestguard
apextier1head;Defector's Mask
apextier1pants;Defector's Trousers
apextier2chest;Rebel's Chestguard
apextier2head;Rebel's Hood
apextier2pants;Rebel's Trousers
apextier3chest;Insurgent's Jacket
apextier3head;Insurgent's Mask
apextier3pants;Insurgent's Trousers
apextier4chest;Revolutionary's Jacket
apextier4head;Revolutionary's Bandana
apextier4pants;Revolutionary's Trousers
apextier5achest;Rogue's Chestguard
apextier5ahead;Rogue's Hood
apextier5apants;Rogue's Trousers
apextier5mchest;Spy's Jacket
apextier5mhead;Spy's Hood
apextier5mpants;Spy's Trousers
apextier5schest;Assassin's Chestguard
apextier5shead;Assassin's Mask
apextier5spants;Assassin's Trousers
apextier6achest;Infiltrator's Breastplate
apextier6ahead;Infiltrator's Helm
apextier6apants;Infiltrator's Greaves
apextier6mchest;Usurper's Coat
apextier6mhead;Usurper's Hood
apextier6mpants;Usurper's Trousers
apextier6schest;Frontliner's Breastplate
apextier6shead;Frontliner's Helm
apextier6spants;Frontliner's Greaves
apexcommanderjacket;Commander Jacket
apexcommanderpants;Commander Trousers
apexnavyjacket;Navy Jacket
apexnavypants;Navy Trousers
apexofficerjacket;Officer Jacket
apexofficerpants;Officer Trousers
apexspecialistjacket;Specialist Jacket
apexspecialistpants;Specialist Trousers
avianadventurershirt;Leather Breastplate
avianadventurerpants;Leather Loincloth
aviancommonershirt;Hide Shirt
aviancommonerlegs;Hide Skirt
avianfancyshirt;Ornate Shirt
avianfancyskirt;Ornate Loincloth
aviantier1chest;Hatchling's Breastplate
aviantier1head;Hatchling's Circlet
aviantier1pants;Hatchling's Loincloth
aviantier2chest;Sparrow Breastplate
aviantier2head;Sparrow Helm
aviantier2pants;Sparrow Loincloth
aviantier3chest;Quail Breastplate
aviantier3head;Quail Crest
aviantier3pants;Quail Trousers
aviantier4chest;Owl Breastplate
aviantier4head;Owl Helm
aviantier4pants;Owl Skirt
aviantier5achest;Peacock Chestplate
aviantier5ahead;Peacock Headdress
aviantier5apants;Peacock Skirt
aviantier5mchest;Flamingo Chainmail
aviantier5mhead;Flamingo Headdress
aviantier5mpants;Flamingo Skirt
aviantier5schest;Phoenix Breastplate
aviantier5shead;Phoenix Helm
aviantier5spants;Phoenix Greaves
aviantier6achest;Macaw Shirt
aviantier6ahead;Macaw Headdress
aviantier6apants;Macaw Leggings
aviantier6mchest;Raven's Breast
aviantier6mhead;Raven's Beak
aviantier6mpants;Raven's Claws
aviantier6schest;Toucan Breastplate
aviantier6shead;Toucan Helm
aviantier6spants;Toucan Loincloth
avianworkershirt;Worker Shirt
avianworkerpants;Worker Skirt
afrowighead;The Captain's Fro
coolshadeshead;Cool Shades
demonhornshead;Demon Horn Wig
doghathead;Dog Hat
dreadfulskullhead;Dreadful Skull
electroniumhat;Electronium Hat
fancaphead;Sporty Cap
giantbowhead;Giant Bow
plaguemasterhead;Plague Master Mask
hottophathead;Hot Top Hat
meercaphead;Nerdy Meercat
monitorhead;Monitor Helm
mughathead;Mug Hat
multicamhat;Multicam Operator Cap
phoenixhat;Phoenix Circlet
plumeknighthead;Plume Knight Helm
rustyskul;Rusty Metal Skul
soulguise;Soul Guise Helmet
stargazer;Stargazer Hood
thehrodgardhead;The Hrodgard
tricornhat;Horned Tricorn
uncathat;The Un-Cat Hat
valkyriehelm;Valkyrie Helm (1)
kirhostier5ahead;Valkyrie Helm (2)
kirhostier5ahead2;Valkyrie Helm (3)
aviangodwingsback;Avian God Wings
baroncapeback;Baron's Cape
batterypackAAback;AA Battery Pack
batwingsback;Terrifying Wings
bladedwingsback;Bladed Wings
boilerback;Boiler
bonewingsback;Skeletal Wings
breathprotectionback;Breathing EPP
coldprotectionback;Heating EPP
crystalbackpackback;Crystal Backpack
dangerbarrelback;Unstable Barrel
demonwingsback;Demon Wings
eyeback;All-Seeing Cape
falconwingsback;Stargazer Prophet Wings
halogenpack;Halogen Pack
heatprotectionback;Cooling EPP
lanternstickback;Lantern Stick
oxygentank;Oxygen Tank
paperwingsback;Paper Wings
parachutepackback;Parachute
radiationprotectionback;Radiation EPP
rainbowcapeback;Shawl of Elation
shortcapeback;Short Cape
simplecapeback;Simple Cape
tigertailback;Tiger Tail
toxicflowerback;Toxic Flower Backpack
toxicwasteback;Toxic Waste (1)
toxicwaste;Toxic Waste (2)
tribalfeathersback;Tribal Feathers
tribalwingsback;Stargazer Acolyte Wings
turtleshellback;Turtle Shell
xenonpack;Xenon Pack
alpacachest;Alien Alpaca Sweater
alpacahead;Alien Alpaca Mask
alpacalegs;Alien Alpaca Legs
alpacaguardchest;Alpaca Real Guard Torso
alpacaguardhead;Alpaca Guard Real Head
alpacaguardlegs;Alpaca Real Guard Legs
alpacavillagerchest;Alien Alpaca Real Torso
alpacavillagerhead;Alien Alpaca Real Head
alpacavillagerlegs;Alien Alpaca Real Legs
bioluminchest;Glow Suit
bioluminhead;Glow Mask
bioluminlegs;Glow Trousers
frostcrownhead;Frost Crown
lighthelmhead;Fluorescent Helmet
jeffback;Jeff
apexskullhead;Apex Skull Mask
avianskullhead;Avian Skull Mask
floranskullhead;Floran Skull Mask
glitchskullhead;Glitch Skull Mask
humanskullhead;Human Skull Mask
hylotlskullhead;Hylotl Skull Mask
crayonblueback;Blue Crayon
crayongreenback;Green Crayon
crayonorangeback;Orange Crayon
crayonpurpleback;Purple Crayon
crayonredback;Red Crayon
crayonyellowback;Yellow Crayon
copperarmorchest;Copper Chestpiece
copperarmorhead;Copper Goggles
copperarmorpants;Copper Greaves
eyeballback;Optic Nerve
eyeballchest;Eyeball Shirt
eyeballhead;Eyeball Mask
eyeballlegs;Eyeball Skirt
anatomyapexhead;Apex Anatomy Mask
anatomyavianhead;Avian Anatomy Mask
anatomyavianlegs;Avian Anatomy Trousers
anatomychest;Anatomy Shirt
anatomyhead;Human Anatomy Mask
anatomylegs;Human Anatomy Trousers
anatomyhylotlhead;Hylotl Anatomy Mask
foundryback;Foundry Gear Pack
foundrychest;Foundry Chestpiece
foundryforemanback;Foundry Foreman Pack
foundrygoggleshead;Foundry Goggles
foundryguardchest;Foundry Guard Gloves
foundryhardhathead;Foundry Hard Hat
